"ResourceType","QueryName","Query","Description","Severity","Threshold","EvaluationFrequency","WindowSize","FriendlyName"
"microsoft.network/applicationgateways","HighLatency","AzureDiagnostics | where ResourceProvider == "MICROSOFT.NETWORK" and Category == "ApplicationGatewayAccessLog" | summarize AvgLatency = avg(timeTaken_d) by Resource | where AvgLatency > 5000","Average latency above 5 seconds","1","5000","PT5M","PT15M","appgw"
"microsoft.keyvault/vaults","UnauthorizedAccess","AzureDiagnostics | where ResourceProvider == "MICROSOFT.KEYVAULT" and ResultSignature == "Unauthorized" | summarize UnauthorizedCount = count() by Resource, CallerIPAddress | where UnauthorizedCount > 5","More than 5 unauthorized access attempts","1","5","PT5M","PT15M","kv"
"microsoft.keyvault/vaults","FailedOperations","AzureDiagnostics | where ResourceProvider == "MICROSOFT.KEYVAULT" and ResultSignature != "OK" | summarize FailedCount = count() by Resource, OperationName | where FailedCount > 10","More than 10 failed operations","1","10","PT5M","PT15M","kv"
"microsoft.network/loadbalancers","UnhealthyProbe","AzureDiagnostics | where ResourceProvider == "MICROSOFT.NETWORK" and Category == "LoadBalancerProbeHealthStatus" and State_s == "Down" | summarize UnhealthyCount = count() by Resource","Load balancer probe unhealthy","1","1","PT5M","PT5M","lb"
"microsoft.eventhub/namespaces","ServerErrors","AzureMetrics | where ResourceProvider == ""MICROSOFT.EVENTHUB"" and MetricName == "ServerErrors" | summarize ErrorCount = sum(Total) by Resource | where ErrorCount > 5","More than 5 server errors","1","5","PT5M","PT5M","eventhub"
"microsoft.servicebus/namespaces","DeadLetterMessages","AzureMetrics | where ResourceProvider == "MICROSOFT.SERVICEBUS" and MetricName == "DeadletteredMessages" | summarize DeadLetterCount = sum(Total) by Resource | where DeadLetterCount > 10","More than 10 dead letter messages","1","10","PT5M","PT15M","servicebus"
"microsoft.servicebus/namespaces","ServerErrors","AzureMetrics | where ResourceProvider == "MICROSOFT.SERVICEBUS" and MetricName == "ServerErrors" | summarize ErrorCount = sum(Total) by Resource | where ErrorCount > 5","More than 5 server errors","1","5","PT5M","PT5M","servicebus"
"microsoft.recoveryservices/vaults","BackupFailure","AzureDiagnostics | where ResourceProvider == "MICROSOFT.RECOVERYSERVICES" and Category == "AzureBackupReport" and OperationName == "Backup" and JobStatus_s == "Failed" | summarize FailureCount = count() by Resource","Backup job failed","1","1","PT5M","PT5M","rsv"
"microsoft.recoveryservices/vaults","BackupNotRun","AzureDiagnostics | where ResourceProvider == "MICROSOFT.RECOVERYSERVICES" and Category == "AzureBackupReport" | summarize LastBackup = max(TimeGenerated) by Resource, BackupItemUniqueId_s | where LastBackup < ago(25h)","Backup not run in last 25 hours","1","25","PT1H","PT1H","rsv"
"microsoft.automation/automationaccounts","RunbookFailure","AzureDiagnostics | where ResourceProvider == "MICROSOFT.AUTOMATION" and Category == "JobLogs" and ResultType == "Failed" | summarize FailureCount = count() by Resource, RunbookName_s | where FailureCount > 0","Runbook job failed","1","1","PT5M","PT5M","automation"
"microsoft.logic/workflows","WorkflowFailure","AzureDiagnostics | where ResourceProvider == "MICROSOFT.LOGIC" and Category == "WorkflowRuntime" and status_s == "Failed" | summarize FailureCount = count() by Resource | where FailureCount > 0","Logic App workflow failed","1","1","PT5M","PT5M","logicapp"
"microsoft.datafactory/factories","PipelineFailure","AzureDiagnostics | where ResourceProvider == "MICROSOFT.DATAFACTORY" and Category == "PipelineRuns" and Status == "Failed" | summarize FailureCount = count() by Resource, PipelineName | where FailureCount > 0","Data Factory pipeline failed","1","1","PT5M","PT5M","adf"
"microsoft.databricks/workspaces","ClusterTerminated","DatabricksClusterEvents | where EventType == "TERMINATED" and Reason != "USER_REQUEST" | summarize TerminationCount = count() by WorkspaceName, ClusterId","Databricks cluster terminated unexpectedly","1","1","PT5M","PT5M","databricks"
